Latitude,Longitude,CustType
-6.8038095,39.166302,personal
-6.6515893,39.1778769,personal
-6.7753337,39.1455028,personal
-6.800824,39.2105881,personal
-6.7684253,39.1400132,corporate
-6.7160644,39.1974611,personal
-6.83375,39.25579,personal
-6.8091605,39.2483432,personal
-6.819286,39.2711848,personal
-6.9138862,39.2406375,personal
-6.8289623,39.2540052,personal
-6.699202172,39.2172038,personal
-6.8107874,39.2596277,personal
-6.369028,34.888822,corporate
-6.725783774,39.21748774,personal
-6.6645192,39.2071727,personal
-6.931778436,39.27906172,personal
-6.7670209,39.1470446,personal
-6.7973834,39.2320469,personal
-6.7725209,39.1488936,personal
-6.811665,39.2451883,personal
-6.8036867,39.2481838,personal
-6.8047973,39.2811646,personal
-6.7405999,39.1489979,personal
-6.660250028,39.19861799,personal
-6.6173653,39.1235548,personal
-6.6289247,39.1665541,personal
-6.8107874,39.2596277,personal
-6.6614771,39.2003461,personal
-6.692299,39.1950059,personal
-6.7619115,39.1415872,personal
-6.8038095,39.166302,personal
-6.7580234,39.1369291,personal
-6.7590038,39.251099,personal
-6.819430149,39.27292585,corporate
-6.7947068,39.1867769,personal
-6.7473712,39.2816971,personal
-6.792749876,39.20862685,personal
-6.7526416,39.175736,personal
-6.7405999,39.1489979,personal
-6.7405999,39.1489979,personal
-6.9275886,39.1335549,personal
-6.9275886,39.1335549,personal
